,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
350,frozenset({'kilometer_150000'}),"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",0.64,0.7394,0.4796,0.749375,1.013490668109278,0.006384000000000056,1.0398004987531175
351,"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",frozenset({'fuelType_benzin'}),0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
352,"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",frozenset({'gearbox_manuell'}),0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
353,"frozenset({'offerType_Angebot', 'gearbox_manuell', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.4756,1.0,0.4756,1.0,1.0,0.0,inf
354,"frozenset({'seller_privat', 'gearbox_manuell', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.4756,1.0,0.4756,1.0,1.0,0.0,inf
355,"frozenset({'offerType_Angebot', 'gearbox_manuell'})","frozenset({'seller_privat', 'fuelType_benzin'})",0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
356,"frozenset({'offerType_Angebot', 'fuelType_benzin'})","frozenset({'seller_privat', 'gearbox_manuell'})",0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
357,"frozenset({'seller_privat', 'gearbox_manuell'})","frozenset({'offerType_Angebot', 'fuelType_benzin'})",0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
358,"frozenset({'seller_privat', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'gearbox_manuell'})",0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
359,"frozenset({'gearbox_manuell', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.4756,1.0,0.4756,1.0,1.0,0.0,inf
360,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
361,frozenset({'fuelType_benzin'}),"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
362,"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",frozenset({'notRepairedDamage_nein'}),0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
363,"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",frozenset({'gearbox_manuell'}),0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
364,"frozenset({'offerType_Angebot', 'gearbox_manuell', 'notRepairedDamage_nein'})",frozenset({'seller_privat'}),0.5286,1.0,0.5286,1.0,1.0,0.0,inf
365,"frozenset({'seller_privat', 'gearbox_manuell', 'notRepairedDamage_nein'})",frozenset({'offerType_Angebot'}),0.5286,1.0,0.5286,1.0,1.0,0.0,inf
366,"frozenset({'offerType_Angebot', 'gearbox_manuell'})","frozenset({'seller_privat', 'notRepairedDamage_nein'})",0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
367,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})","frozenset({'seller_privat', 'gearbox_manuell'})",0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
368,"frozenset({'seller_privat', 'gearbox_manuell'})","frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
369,"frozenset({'seller_privat', 'notRepairedDamage_nein'})","frozenset({'offerType_Angebot', 'gearbox_manuell'})",0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
370,"frozenset({'gearbox_manuell', 'notRepairedDamage_nein'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.5286,1.0,0.5286,1.0,1.0,0.0,inf
371,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
372,frozenset({'notRepairedDamage_nein'}),"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
373,"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",frozenset({'nrOfPictures_0'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
374,"frozenset({'offerType_Angebot', 'seller_privat', 'nrOfPictures_0'})",frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
